company_original,company_processed,matched_assignee_original,matched_assignee_processed,similarity_score,valid_match,notes
KAZIA THERAPEUTICS LIMITED,kazia therapeutics,Kazia Therapeutics Limited,kazia therapeutics,1.0,True,
KBR INC,kbr,KBR Incorporated,kbr,1.0,True,
KCR TECHNOLOGY INC,kcr technology,"KCR Technology, Inc.",kcr technology,1.0,True,
KDI CORP,kdi,"KDI Corporation, Inc.",kdi,0.9999997615814209,True,
KEANE INC,keane,"KEANE GROUP HOLDINGS, LLC",keane,1.0,True,
KEARNEY & TRECKER CORP,kearney trecker,Kearney & Trecker Corporation,kearney trecker,0.9999998211860657,True,
KEARNEY NATIONAL INC,kearney national,KEARNEY-NATIONAL INC.,kearney national,1.0,True,
KEEBLER CO,keebler,Keebler Company,keebler,1.0,True,
KEITHLEY INSTRUMENTS INC,keithley instruments,"Keithley Instruments, LLC",keithley instruments,1.0,True,
KELLER INDUSTRIES LTD,keller industries,"Keller Industries, Inc.",keller industries,1.0,True,
KELLER INDUSTRIES LTD,keller industries,"Keller Industries, Inc.",keller industries,1.0,True,
KELLOGG-AMERICAN INC,kellogg american,"Kellogg-American, Inc.",kellogg american,1.0,True,
KELLWOOD CO,kellwood,Kellwood Company,kellwood,0.9999998807907104,True,
KELMAN TECHNOLOGIES INC,kelman technologies,"Kelman Technologies, Inc.",kelman technologies,0.9999999403953552,True,
KELSEY HAYES CO,kelsey hayes,KELSEY-HAYES-COMPANY,kelsey hayes,1.0,True,
KELSO TECHNOLOGIES INC,kelso technologies,Kelso Technologies Inc.,kelso technologies,1.0,True,
KEMET CORP,kemet,Kemet Corporation,kemet,0.9999998807907104,True,
KENDALL INTERNATIONAL INC,kendall,The Kendall Company LP,kendall,1.0,True,
KENDALL INTERNATIONAL INC,kendall,The Kendall Company LP,kendall,1.0,True,
KENILWORTH SYSTEMS CORP,kenilworth systems,Kenilworth Systems Corporation.,kenilworth systems,0.9999998211860657,True,
KENNAMETAL INC,kennametal,KENNAMETAL INC.,kennametal,1.0,True,
KENNECOTT CORP,kennecott,Kennecott Holdings Company,kennecott,1.0,True,
KENNER PARKER TOYS INC,kenner parker toys,Kenner Parker Toys Inc.,kenner parker toys,1.0,True,
KENSEY NASH CORP,kensey nash,KENSEY NASH CORPORATION,kensey nash,0.9999997615814209,True,
KENT INTL HOLDINGS INC,kent,KENT CORPORATION,kent,1.0,True,
KENT-MOORE CORP,kent moore,Kent-Moore Corporation,kent moore,1.0,True,
KENTRON INTERNATIONAL INC,kentron,"Kentron International, Inc.",kentron,1.0,True,
KENTUCKY TENNESSEE CLAY CO,kentucky tennessee clay,Kentucky-Tennessee Clay Co.,kentucky tennessee clay,1.0,True,
KEPTEL INC,keptel,"Keptel, Inc.",keptel,1.0,True,
KERAVISION INC,keravision,"KeraVision, Inc.",keravision,1.0,True,
KEROS THERAPEUTICS INC,keros therapeutics,"Keros Therapeutics, Inc.",keros therapeutics,1.0,True,
KERR GROUP INC,kerr,Kerr Corporation,kerr,0.9999997615814209,True,
KERR-MCGEE CORP,kerr mcgee,Kerr-McGee Corporation,kerr mcgee,1.0,True,
KERYX BIOPHARMACEUTICALS INC,keryx biopharmaceuticals,"Keryx Biopharmaceuticals, Inc.",keryx biopharmaceuticals,1.0,True,
KETCHUM & CO,ketchum,The Ketchum Group,ketchum,1.0,True,
KETEMA INC,ketema,"Ketema, LLC",ketema,0.9999998807907104,True,
KEUFFEL & ESSER CO,keuffel esser,Keuffel & Esser Company,keuffel esser,1.0,True,
KEVEX CORP,kevex,Kevex Corporation,kevex,1.0,True,
KEVLIN CORP,kevlin,Kevlin Corporation,kevlin,1.0,True,
KEWANEE INDUSTRIES INC,kewanee industries,"Kewanee Industries, Inc.",kewanee industries,1.0,True,
KEWAUNEE SCIENTIFIC CORP,kewaunee scientific,Kewaunee Scientific Corporation,kewaunee scientific,1.0,True,
KEY ENERGY SERVICES INC,key energy services,"KEY ENERGY SERVICES, LLC",key energy services,1.0,True,
KEY PHARMACEUTICALS INC,key pharmaceuticals,"Key Pharmaceuticals, Inc.",key pharmaceuticals,0.9999998807907104,True,
KEY TECHNOLOGY INC,key technology,"Key Technology, Inc.",key technology,1.0,True,
KEY TRONIC CORP,key tronic,Key Tronic Corporation,key tronic,1.0,True,
KEYCON INDUSTRIES,keycon industries,"Keycon Industries, Inc.",keycon industries,0.9999997615814209,True,
KEYCORP,keycorp,Keycorp Limited,keycorp,1.0,True,
KEYES FIBRE CO,keyes fibre,Keyes Fibre Corporation,keyes fibre,1.0,True,
KEYNOTE SYSTEMS INC,keynote systems,"Keynote Systems, Inc.",keynote systems,0.9999998807907104,True,
KEYSIGHT TECHNOLOGIES INC,keysight technologies,"KEYSIGHT TECHNOLOGIES, INC.",keysight technologies,1.0,True,
KEYSPAN CORP,keyspan,Keyspan Corporation,keyspan,1.0,True,
KEYSPAN ENERGY CORP,keyspan energy,KeySpan Energy,keyspan energy,0.9999999403953552,True,
KEYSTONE FOODS,keystone foods,Keystone Foods Corporation,keystone foods,0.9999998807907104,True,
KEYSTONE INDUSTRIES INC,keystone industries,Keystone Industries,keystone industries,1.0,True,
KEYSTONE INTERNATIONAL,keystone,Keystone International,keystone,1.0,True,
KEYW HOLDING CORP,keyw,THE KEYW CORPORATION,keyw,1.0,True,
KEZAR LIFE SCIENCES,kezar life sciences,"KEZAR LIFE SCIENCES, INC.",kezar life sciences,1.0,True,
KFORCE INC,kforce,Kforce Inc.,kforce,1.0,True,
KIDDE INC,kidde,"Kidde Holding, Inc.",kidde,1.0,True,
KIDEO PRODUCTIONS INC,kideo productions,"Kideo Productions, Inc.",kideo productions,1.0,True,
KILE TECHNOLOGY CORP,kile technology,Kile Technology Corporation,kile technology,1.0,True,
KIMBERLY-CLARK CORP,kimberly clark,Kimberly-Clark Inc.,kimberly clark,1.0,True,
KINAXIS INC,kinaxis,Kinaxis Inc.,kinaxis,1.0,True,
KINDER MORGAN INC,kinder morgan,"Kinder Morgan, Inc.",kinder morgan,1.0,True,
KINDRED BIOSCIENCES INC,kindred biosciences,"Kindred Biosciences, Inc.",kindred biosciences,0.9999999403953552,True,
KINETA INC,kineta,"Kineta, Inc.",kineta,1.0,True,
KINETEK INC,kinetek,"Kinetik, LLC",kinetik,0.9660321474075317,True,
KINETIC GROUP INC,kinetic,Kinetic Pty Ltd.,kinetic,1.0,True,
KINETIK HOLDINGS INC,kinetik,"Kinetik, LLC",kinetik,1.0,True,
KING INTERNATIONAL CORP,king,"The King Group, Inc.",king,1.0,True,
KING PHARMACEUTICALS INC,king pharmaceuticals,"King Pharmaceuticals, Inc.",king pharmaceuticals,0.9999997615814209,True,
KING POWER INTL GROUP LTD,king power,"KING POWER COMPANY, LLC",king power,0.9999999403953552,True,
KINGFISHER PLC,kingfisher,"Kingfisher International, Pty Ltd",kingfisher,1.0,True,
KINGS ELECTRONICS CO INC,kings electronics,"Kings Electronics Co., Inc.",kings electronics,1.0,True,
KINGSFORD CO,kingsford,The Kingsford Company,kingsford,1.0,True,
KINNATE BIOPHARMA INC,kinnate biopharma,KINNATE BIOPHARMA INC.,kinnate biopharma,1.0,True,
KINTERA INC,kintera,"Kintera, Inc.",kintera,1.0,True,
KIOR INC,kior,"KiOR, LLC",kior,1.0,True,
KIORA PHARMACEUTICALS INC,kiora pharmaceuticals,KIORA PHARMACEUTICALS GMBH,kiora pharmaceuticals,1.0,True,
KIPS BAY MEDICAL INC,kips bay medical,"Kips Bay Medical, Inc.",kips bay medical,0.9999997615814209,True,
KIRSCH CO,kirsch,Kirsch LLC,kirsch,0.9999997019767761,True,
KIRSCHNER MEDICAL CORP,kirschner medical,Kirschner Medical Corporation,kirschner medical,0.9999998807907104,True,
KIT DIGITAL INC,kit digital,"Kit-Digital, Inc.",kit digital,1.0,True,
KIT MANUFACTURING,kit manufacturing,Kit Manufacturing Company,kit manufacturing,0.9999998807907104,True,
KITE PHARMA INC,kite pharma,"Kite Pharma, Inc.",kite pharma,1.0,True,
KITTY HAWK INC,kitty hawk,Kitty Hawk Corporation,kitty hawk,1.0,True,
KLA CORP,kla,KLA Corporation,kla,1.0,True,
KLAVIYO INC,klaviyo,Klaviyo Inc.,klaviyo,1.0,True,
KLIKLOK CORP,kliklok,Kliklok LLC,kliklok,1.0,True,
KLM ROYAL DUTCH AIRLINES,klm royal dutch airlines,KLM Royal Dutch Airlines,klm royal dutch airlines,0.9999998211860657,True,
KLOSS VIDEO CORP,kloss video,Kloss Video Corporation,kloss video,1.0,True,
KMC ENTERPRISES INC,kmc enterprises,"KMC Enterprises, Inc.",kmc enterprises,1.0,True,
KNICKERBOCKER TOY INC,knickerbocker toy,"Knickerbocker Toy Co., Inc.",knickerbocker toy,1.0,True,
KNIGHTSCOPE INC,knightscope,"Knightscope, Inc.",knightscope,1.0,True,
KNOGO CORP,knogo,Knogo Corporation,knogo,0.9999999403953552,True,
KNOLL INC,knoll,Knoll International Inc.,knoll,0.9999998211860657,True,
KNOLL INC,knoll,Knoll International Inc.,knoll,0.9999998211860657,True,
KNOVA SOFTWARE INC,knova software,Knova Software Inc.,knova software,1.0,True,
KNOW LABS INC,know labs,"Know Labs, Inc.",know labs,1.0,True,
KNOWBE4 INC,knowbe4,"KnowBe4, Inc.",knowbe4,1.0,True,
KNUSAGA CORP,knusaga,Knusaga Corporation,knusaga,1.0,True,
KOALA CORP,koala,Koala Corporation,koala,1.0,True,
KOBER CORP,kober,Kober AG,kober,0.9999997615814209,True,
KODIAK GAS SERVICES INC,kodiak gas services,"Kodiak Gas Services, LLC",kodiak gas services,1.0,True,
KODIAK SCIENCES INC,kodiak sciences,KODIAK SCIENCES INC.,kodiak sciences,1.0,True,
KOEHRING CO,koehring,Koehring Company,koehring,0.9999999403953552,True,
KOFAX IMAGE PRODUCTS INC,kofax image products,"Kofax Image Products, Inc.",kofax image products,1.0,True,
KOFAX LTD,kofax,"KOFAX, INC.",kofax,1.0,True,
KOHL'S CORP,kohl s,"Kohl's, Inc.",kohl s,1.0,True,
KOHLER CO,kohler,Kohler Co.,kohler,0.9999997019767761,True,
KOIL ENERGY SOLUTIONS INC,koil energy solutions,"Koil Energy Solutions, Inc.",koil energy solutions,1.0,True,
KOLLMORGEN CORP,kollmorgen,KOLLMORGEN CORPORATION,kollmorgen,1.0,True,
KOLORFUSION INTL INC,kolorfusion,Kolorfusion International Inc.,kolorfusion,0.9999998807907104,True,
KOLPAK INDUSTRIES INC,kolpak industries,"Kolpak Industries, Inc.",kolpak industries,1.0,True,
KOMAG INC,komag,"Komag, Inc.",komag,1.0,True,
KOMATSU LTD,komatsu,KOMATSU LTD.,komatsu,0.9999998807907104,True,
KONAMI GROUP CORPORATION,konami,Konami Corporation,konami,1.0,True,
KONINKLIJKE KPN NV,koninklijke kpn,KONINKLIJKE KPN N.V.,koninklijke kpn n v,0.9561526775360107,True,
KOPIN CORP,kopin,Kopin Corporation,kopin,1.0,True,
KOPPERS HOLDINGS INC,koppers,"KOPPERS, INC.",koppers,1.0,True,
KOPPERS HOLDINGS INC,koppers,"KOPPERS, INC.",koppers,1.0,True,
KOPPERS HOLDINGS INC,koppers,"KOPPERS, INC.",koppers,1.0,True,
KORN FERRY,korn ferry,Korn Ferry,korn ferry,0.9999997615814209,True,
KORNIT DIGITAL LTD,kornit digital,Kornit Digital Ltd.,kornit digital,1.0,True,
KORRO BIO INC,korro bio,"KORRO BIO, INC.",korro bio,1.0,True,
KORU MEDICAL SYSTEMS INC,koru medical systems,"KORU Medical Systems, Inc.",koru medical systems,1.0,True,
KOS PHARMACEUTICALS INC,kos pharmaceuticals,"KOS Pharmaceuticals, Inc.",kos pharmaceuticals,0.9999998807907104,True,
KOSAN BIOSCIENCES INC,kosan biosciences,Kosan Biosciences Incorporated,kosan biosciences,0.9999999403953552,True,
KOSS CORP,koss,Koss Corporation,koss,0.9999997615814209,True,
KRAFT FOODS GROUP INC,kraft foods,"KRAFT FOODS HOLDINGS, INC.",kraft foods,0.9999998807907104,True,
KRAFT GENERAL FOODS,kraft general foods,"Kraft General Foods, Inc.",kraft general foods,1.0,True,
KRATON CORP,kraton,KRATON CORPORATION,kraton,1.0,True,
KRATOS INC,kratos,Kratos LLC,kratos,1.0,True,
KREISLER MANUFACTURING CORP,kreisler manufacturing,Kreisler Manufacturing Corporation,kreisler manufacturing,0.9999998211860657,True,
KROGER CO,kroger,THE KROGER CO.,kroger,1.0,True,
KRONOS ADVANCED TECHNOLOGIES,kronos advanced technologies,"Kronos Advanced Technologies, Inc.",kronos advanced technologies,1.0,True,
KRONOS BIO INC,kronos bio,"Kronos Bio, Inc.",kronos bio,1.0,True,
KRONOS INC,kronos,"Kronos, Inc.",kronos,1.0,True,
KROY INC,kroy,Kroy LLC,kroy,1.0,True,
KRYSTAL BIOTECH INC,krystal biotech,"Krystal Biotech, Inc.",krystal biotech,1.0,True,
KRYSTAL CO,krystal,KRYSTAL INC.,krystal,1.0,True,
KT CORPORATION,kt,"KT International, Inc.",kt,1.0,True,
KTI INC,kti,KTI CORPORATION,kti,1.0,True,
KUBIENT INC,kubient,Kubient Inc.,kubient,1.0,True,
KUBOTA CORP,kubota,KUBOTA CORPORATION,kubota,0.9999999403953552,True,
KUHLMAN CO INC,kuhlman,Kuhlman Corporation,kuhlman,1.0,True,
KUHLMAN CO INC,kuhlman,Kuhlman Corporation,kuhlman,1.0,True,
KULICKE & SOFFA INDUSTRIES,kulicke soffa industries,"Kulicke and Soffa Industries, Inc.",kulicke soffa industries,1.0,True,
KULR TECHNOLOGY GROUP,kulr technology,KULR TECHNOLOGY CORPORATION,kulr technology,0.9999998211860657,True,
KURA ONCOLOGY INC,kura oncology,"Kura Oncology, Inc.",kura oncology,1.0,True,
KURZWEIL MUSIC SYSTEMS INC,kurzweil music systems,"Kurzweil Music Systems, Inc.",kurzweil music systems,1.0,True,
KUSHCO HOLDINGS INC,kushco,"KushCo Holdings, Inc.",kushco,1.0,True,
KUSTOM ELECTRONICS INC,kustom electronics,"Kustom Electronics, Inc.",kustom electronics,0.9999998807907104,True,
KVH INDUSTRIES INC,kvh industries,"KVH Industries, Inc.",kvh industries,1.0,True,
KWG RESOURCES INC,kwg resources,"KWG RESOURCES, INC.",kwg resources,1.0,True,
KYNDRYL HOLDINGS INC,kyndryl,"Kyndryl, Inc.",kyndryl,0.9999997615814209,True,
KYOCERA CORP,kyocera,"Kyocera International, Inc.",kyocera,1.0,True,
KYPHON INC,kyphon,Kyphon Inc.,kyphon,1.0,True,
KYSOR INDUSTRIAL CORP,kysor industrial,KYSOR INDUSTRIAL CORPORATION,kysor industrial,1.0,True,
KYTHERA BIOPHARMA INC,kythera biopharma,"Kythera Biopharmaceuticals, Inc.",kythera biopharmaceuticals,0.9653598666191101,True,
KYVERNA THERAPEUTICS INC,kyverna therapeutics,"Kyverna Therapeutics, Inc.",kyverna therapeutics,1.0,True,
KYZEN CORP,kyzen,Kyzen Corporation,kyzen,1.0,True,
L A GEAR INC,l a gear,"L.A. Gear, Inc.",l a gear,1.0,True,
L W INDUSTRIES INC,l w industries,"L&W Industries, LLC",l w industries,1.0,True,
L'AIR LIQUIDE SA,l air liquide,L'AIR LIQUIDE,l air liquide,1.0,True,
L-1 IDENTITY SOLUTIONS INC,l 1 identity solutions,L-1 IDENTITY SOLUTIONS AG,l 1 identity solutions,1.0,True,
L3 TECHNOLOGIES INC,l3 technologies,"L3 Technologies, Inc.",l3 technologies,1.0,True,
L3HARRIS TECHNOLOGIES INC,l3harris technologies,"L3HARRIS TECHNOLOGIES, INC.",l3harris technologies,1.0,True,
LA CROSSE COOLER HOLDING CO,la crosse cooler,La Crosse Cooler Company,la crosse cooler,0.9999997615814209,True,
LA JOLLA PHARMACEUTICAL CO,la jolla pharmaceutical,La Jolla Pharmaceuticals Company,la jolla pharmaceuticals,0.9854752421379089,True,
LA-Z-BOY INC,la z boy,La-Z-Boy Incorporated,la z boy,1.0,True,
LAB RESEARCH INC,lab research,Lab Research Corporation,lab research,0.9999997615814209,True,
LABONE INC,labone,"LabOne, Inc.",labone,1.0,True,
LABOPHARM INC,labopharm,Labopharm Inc.,labopharm,1.0,True,
LABORATORIO CHILE SA,laboratorio chile,Laboratorio CHile S.A.,laboratorio chile s a,0.9582794904708862,True,
LABTEC INC,labtec,LABTEC GMBH,labtec,1.0,True,
LACLEDE STEEL CO,laclede steel,Laclede Steel Company,laclede steel,1.0,True,
LACROSSE FOOTWEAR INC,lacrosse footwear,"LaCrosse Footwear, Inc.",lacrosse footwear,1.0,True,
LADD FURNITURE INC,ladd furniture,"Ladd Furniture, Inc.",ladd furniture,1.0,True,
LADISH CO INC,ladish,"Ladish Company, Incorporated",ladish,1.0,True,
LADRX CORP,ladrx,LADRX CORPORATION,ladrx,1.0,True,
LAFARGE CANADA LTD,lafarge canada,LAFARGE CANADA INC.,lafarge canada,1.0,True,
LAFARGE NORTH AMERICA INC,lafarge north america,LaFarge North America,lafarge north america,1.0,True,
LAFARGE SA,lafarge,Lafarge SA,lafarge,1.0,True,
LAIDLAW INTERNATIONAL INC,laidlaw,Laidlaw Corporation,laidlaw,1.0,True,
LAKELAND INDUSTRIES INC,lakeland industries,"Lakeland Industries, Inc.",lakeland industries,0.9999997615814209,True,
LAKESIDE HOLDING LTD,lakeside,"LAKESIDE HOLDINGS, LLC",lakeside,0.9999996423721313,True,
LAM RESEARCH CORP,lam research,Lam Research Corporation,lam research,1.0,True,
LAMB WESTON HOLDINGS INC,lamb weston,"Lamb Weston, Inc.",lamb weston,1.0,True,
LAMSON & SESSIONS CO,lamson sessions,The Lamson & Sessions Co.,lamson sessions,1.0,True,
LANCASTER COLONY CORP,lancaster colony,LANCASTER COLONY CORPORATION,lancaster colony,1.0,True,
LANCER ORTHODONTICS INC,lancer orthodontics,Lancer Orthodontics,lancer orthodontics,1.0,True,
LAND O'LAKES INC,land o lakes,"Land O'Lakes, Inc.",land o lakes,0.9999998211860657,True,
LANDAUER INC,landauer,"LANDAUER, INC.",landauer,0.9999997615814209,True,
LANDMARK GRAPHICS CORP,landmark graphics,Landmark Graphics Corporation,landmark graphics,1.0,True,
LANDMARK SYSTEM CORP,landmark system,Landmark Systems Corporation,landmark systems,0.9547809958457947,True,
LANDOS BIOPHARMA INC,landos biopharma,"LANDOS BIOPHARMA, INC.",landos biopharma,0.9999998807907104,True,
LANE CO INC,lane,"The Lane Company, Inc.",lane,1.0,True,
LANIER BUSINESS PRODUCTS INC,lanier business products,"Lanier Business Products, Inc.",lanier business products,1.0,True,
LANIER WORLDWIDE INC,lanier worldwide,"Lanier Worldwide, Inc.",lanier worldwide,1.0,True,
LANNET DATA COMMUNICATIONS,lannet data communications,Lannet Data Communications Ltd.,lannet data communications,0.9999998807907104,True,
LANTERN PHARMA INC,lantern pharma,LANTERN PHARMA INC.,lantern pharma,1.0,True,
LANTHEUS MEDICAL IMAGING INC,lantheus medical imaging,"Lantheus Medical Imaging, Inc.",lantheus medical imaging,1.0,True,
LANTRONIX INC,lantronix,"Lantronix, Inc.",lantronix,0.9999996423721313,True,
LARGE SCALE BIOLOGY CORP,large scale biology,LARGE SCALE BIOLOGY CORPORATION,large scale biology,1.0,True,
LARIMAR THERAPEUTICS INC,larimar therapeutics,"Larimar Therapeutics, Inc.",larimar therapeutics,0.9999999403953552,True,
LARIZZA INDUSTRIES INC,larizza industries,"Larizza Industries, Inc.",larizza industries,1.0,True,
LARK TECHNOLOGIES INC,lark technologies,"Lark Technologies, Inc.",lark technologies,1.0,True,
LAROCHE INDUSTRIES INC,laroche industries,"Laroche Industries, Inc.",laroche industries,0.9999998807907104,True,
LAS VEGAS SANDS CORP,las vegas sands,Las Vegas Sands Corp.,las vegas sands,1.0,True,
LAS VEGAS SANDS CORP,las vegas sands,Las Vegas Sands Corp.,las vegas sands,1.0,True,
LASER INDUSTRIES LTD,laser industries,Laser Industries Ltd.,laser industries,0.9999999403953552,True,
LASER PHOTONICS CORP,laser photonics,"Laser Photonics, Inc.",laser photonics,0.9999998807907104,True,
LASER POWER CORP,laser power,Laser Power Corporation,laser power,1.0,True,
LASER PRECISION CORP,laser precision,Laser Precision Corp.,laser precision,0.9999997615814209,True,
LASER SCAN INTERNATIONAL INC,laser scan,"Laser-Scan, Inc.",laser scan,1.0,True,
LASER SYSTEMS & ELECTRONICS,laser systems electronics,"Laser Systems & Electronics, Inc.",laser systems electronics,1.0,True,
LASER SYSTEMS CORP,laser systems,"International Laser Systems, Inc.",laser systems,0.9999999403953552,True,
LASER TECHNOLOGY INC,laser technology,"Laser Technology, Inc.",laser technology,0.9999998807907104,True,
LASER VISION CENTERS INC,laser vision centers,"Laser Vision Centers, Inc.",laser vision centers,1.0,True,
LASERCARD CORP,lasercard,LASERCARD CORPORATION,lasercard,0.9999998807907104,True,
LASERS FOR MEDICINE,lasers for medicine,Lasers for Medicine Inc.,lasers for medicine,1.0,True,
LASERSCOPE,laserscope,LASERSCOPE,laserscope,1.0,True,
LASERSIGHT INC,lasersight,"LaserSight, Inc.",lasersight,1.0,True,
LATCH INC,latch,"Latch, Inc.",latch,1.0,True,
LATITUDE COMMUNICATIONS INC,latitude communications,Latitude Communications,latitude communications,1.0,True,
LATROBE STEEL CO,latrobe steel,Latrobe Steel Company,latrobe steel,1.0,True,
LATSHAW ENTERPRISES INC,latshaw enterprises,"Latshaw Enterprises, Inc.",latshaw enterprises,1.0,True,
LATTICE INC,lattice,Lattice Incorporated,lattice,1.0,True,
LATTICE SEMICONDUCTOR CORP,lattice semiconductor,Lattice Semiconductor Corporation,lattice semiconductor,0.9999998807907104,True,
LAUREATE EDUCATION INC,laureate education,"Laureate Education, Inc.",laureate education,1.0,True,
LAVA THERAPEUTICS N V,lava therapeutics n v,LAVA THERAPEUTICS N.V.,lava therapeutics n v,1.0,True,
LAWSON SOFTWARE INC,lawson software,"Lawson Software, Inc.",lawson software,1.0,True,
LAWTER INTERNATIONAL INC,lawter,"Lawter International, Inc.",lawter,1.0,True,
LAYNE CHRISTENSEN CO,layne christensen,LAYNE CHRISTENSEN COMPANY,layne christensen,1.0,True,
LAZARE KAPLAN INTERNATIONAL,lazare kaplan,"Lazare Kaplan International, Inc.",lazare kaplan,1.0,True,
LAZER-TRON CORP,lazer tron,Lazer-Tron Corporation,lazer tron,1.0,True,
LCA GROUP INC,lca,LCA Corporation,lca,0.9999997615814209,True,
LCA GROUP INC,lca,LCA Corporation,lca,0.9999997615814209,True,
LCI INDUSTRIES,lci industries,"LCI Industries, Inc.",lci industries,1.0,True,
LCI INTERNATIONAL INC,lci,LCI International Inc.,lci,1.0,True,
LDM TECHNOLOGIES INC,ldm technologies,"LDM Technologies, Inc.",ldm technologies,1.0,True,
LEACH CORP,leach,Leach Company,leach,1.0,True,
LEADER INTL INDUSTRIES INC,leader industries,"Leader Industries, Inc.",leader industries,0.9999998807907104,True,
LEADIS TECHNOLOGY INC,leadis technology,"Leadis Technology, Inc.",leadis technology,0.9999997615814209,True,
LEAFLY HOLDINGS INC,leafly,"Leafly Holdings, Inc.",leafly,0.9999998807907104,True,
LEAP THERAPEUTICS INC,leap therapeutics,"Leap Therapeutics, Inc.",leap therapeutics,1.0,True,
LEAP WIRELESS INTL INC,leap wireless,"Leap Wireless International, Inc.",leap wireless,0.9999997615814209,True,
LEAPFROG ENTERPRISES INC,leapfrog enterprises,"LeapFrog Enterprises, Inc.",leapfrog enterprises,1.0,True,
LEAR HOLDINGS CORP,lear,LEAR CORPORATION,lear,1.0,True,
LEAR HOLDINGS CORP,lear,LEAR CORPORATION,lear,1.0,True,
LEAR SIEGLER INC,lear siegler,"Lear Siegler, Inc.",lear siegler,1.0,True,
LEARNING CO,learning,The Learning Corp.,learning,1.0,True,
LEARNING CO,learning,The Learning Corp.,learning,1.0,True,
LEARNING TREE INTL INC,learning tree,"Learning Tree International, Inc.",learning tree,1.0,True,
LEARONAL INC,learonal,"Learonal, Inc.",learonal,1.0,True,
LEATT CORP,leatt,LEATT CORPORATION,leatt,0.9999999403953552,True,
LECHTERS INC,lechters,"Lechters, Inc.",lechters,1.0,True,
LECROY CORP,lecroy,LeCroy Corporation,lecroy,0.9999998807907104,True,
LEE PHARMACEUTICALS,lee pharmaceuticals,Lee Pharmaceuticals,lee pharmaceuticals,1.0,True,
LEE WILSON ENGINEERING CO,lee wilson engineering,"Lee Wilson Engineering Company, Inc.",lee wilson engineering,1.0,True,
LEECO INC,leeco,"Leeco, Inc.",leeco,0.9999998807907104,True,
LEEDS & NORTHRUP CO,leeds northrup,Leeds & Northrup Company,leeds northrup,1.0,True,
LEESONA CORP,leesona,Leesona Corporation,leesona,0.9999998807907104,True,
LEGACY HOLDINGS INC,legacy,"Legacy International, Inc.",legacy,1.0,True,
LEGACY VENTURES INTL INC,legacy ventures,Legacy Ventures LLC,legacy ventures,1.0,True,
LEGATO SYSTEMS INC,legato systems,"Legato Systems, Inc.",legato systems,1.0,True,
LEGEND INTL HOLDINGS INC,legend,Legend Holdings Ltd.,legend,1.0,True,
LEGENT CORP,legent,Legent Corporation,legent,1.0,True,
LEGGETT & PLATT INC,leggett platt,"LEGGETT & PLATT, INC.",leggett platt,0.9999999403953552,True,
LEHIGH PRESS INC,lehigh press,THE LEHIGH PRESS LLC,lehigh press,0.9999998807907104,True,
LEHMAN BROTHERS HOLDINGS INC,lehman brothers,Lehman Brothers Inc.,lehman brothers,1.0,True,
LEHMAN TRIKES INC,lehman trikes,"Lehman Trikes, Inc.",lehman trikes,0.9999997019767761,True,
LEIDOS HOLDINGS INC,leidos,"Leidos, Inc.",leidos,0.9999998807907104,True,
LEIGH INSTRUMENTS LTD,leigh instruments,Leigh Instruments Limited,leigh instruments,1.0,True,
LEIGH PRODUCTS INC,leigh products,"Leigh Products, Inc.",leigh products,0.9999998807907104,True,
LEISURE DYNAMICS INC,leisure dynamics,"Leisure Dynamics, Inc.",leisure dynamics,1.0,True,
LEISURE GROUP INC,leisure,"Leisure, Inc.",leisure,1.0,True,
LEISURE GROUP INC,leisure,"Leisure, Inc.",leisure,1.0,True,
LEISURE PRODUCTS INC,leisure products,"INTERNATIONAL LEISURE PRODUCTS, INC.",leisure products,1.0,True,
LEISURE TECHNOLOGY INC,leisure technology,"Leisure Technology, Inc.",leisure technology,0.9999997615814209,True,
LEISURE TIME PRODUCTS INC,leisure time products,"Leisure Time Products, LLC",leisure time products,1.0,True,
LEITCH TECHNOLOGY CORP,leitch technology,LEITCH TECHNOLOGY INTERNATIONAL INC.,leitch technology,0.9999998807907104,True,
LEMAITRE VASCULAR INC,lemaitre vascular,"LeMaitre Vascular, Inc.",lemaitre vascular,1.0,True,
LENDINGCLUB CORP,lendingclub,LendingClub Corporation,lendingclub,0.9999997615814209,True,
LENDINGTREE INC,lendingtree,"LendingTree, LLC",lendingtree,0.9999996423721313,True,
LENNOX INTERNATIONAL INC,lennox,Lennox International Inc.,lennox,1.0,True,
LENOX GROUP INC,lenox,Lenox Corporation,lenox,1.0,True,
LENOX GROUP INC,lenox,Lenox Corporation,lenox,1.0,True,
LENSAR INC,lensar,"Lensar, Inc.",lensar,0.9999997019767761,True,
LENZ THERAPEUTICS INC,lenz therapeutics,"Lenz Therapeutics, Inc.",lenz therapeutics,1.0,True,
LEO HOLDINGS CORP,leo,Leo Corporation,leo,0.9999999403953552,True,
LEONOVUS INC,leonovus,LeoNovus Inc.,leonovus,1.0,True,
LESCARDEN INC,lescarden,LESCARDEN INC.,lescarden,1.0,True,
LESCO INC,lesco,"LESCO, Inc.",lesco,1.0,True,
LESLIES POOLMART,leslies poolmart,"Leslie's Poolmart, Inc.",leslie s poolmart,0.9954402446746826,True,
LEUCADIA INC,leucadia,"Leucadia, INC",leucadia,1.0,True,
LEUKOSITE INC,leukosite,"LeukoSite, Inc.",leukosite,0.9999998807907104,True,
